2,Computer programming,Spring
4,Data structures,Spring
6,Software engineering,Fall,Spring
8,Computer architecture,Fall,Spring
10,Operating systems,Summer
13,Machine learning
16,Computer security,Spring,Summer
17,Relational databases,Spring
19,Structured Storage,Fall,Summer
20,Programming language pragmatics,Spring
23,Algorithm design,Fall,Spring
24,Web designing,Spring,Summer
25,Artificial intelligence,Spring,Summer
28,Computer graphics,Spring,Summer
29,Parallel computing,Fall,Spring

15 2,4,10,24
9 4,28
22 4,6
12 2,4,10
14 2,8,29
16 8
17 2,4,8,10
20 2,4,8
